layer,distance,elevation,ID,0.1
,160.9344,0,0.1022604,0.1
,1.565059081,0,0.1022604,0.2
,2.023617723,0,0.1022604,0.3
,2.912281873,0,0.1022604,0.4
,3.800946023,0,0.1022604,0.5
,4.259504665,0,0.1022604,0.6
,5.148168816,0,0.1022604,0.7
,6.036832966,0,0.1022604,0.8
,6.495391608,0,0.1022604,0.9
,7.384055758,0,0.1022604,1
,8.272719908,0,0.1022604,1.1
,8.73127855,0,0.1022604,1.2
,9.6199427,0,0.1022604,1.3
,10.50860685,0,0.1022604,1.4
,10.96716549,0,0.1022604,1.5
,11.85582964,0,0.1022604,1.6
,12.74449379,0,0.1022604,1.7
,13.20305243,0,0.1022604,1.8
,14.09171659,0,0.1022604,1.9
,14.98038074,0,0.1022604,2
,15.43893938,0,0.1022604,2.1
,16.32760353,0,0.1022604,2.2
,17.21626768,0,0.1022604,2.3
,17.67482632,0,0.1022604,2.4
,18.56349047,0,0.1022604,2.5
,19.45215462,0,0.1022604,2.6
,19.91071326,0,0.1022604,2.7
,20.79937741,0,0.1022604,2.8
,21.68804156,0,0.1022604,2.9
,22.1466002,0,0.1022604,3
,23.03526435,0,0.1022604,3.1
,23.92392851,0,0.1022604,3.2
,24.38248715,0,0.1022604,3.3
,25.2711513,0,0.1022604,3.4
,26.15981545,0,0.1022604,3.5
,26.61837409,0,0.1022604,3.6
,27.50703824,0,0.1022604,3.7
,28.39570239,0,0.1022604,3.8
,28.85426103,0,0.1022604,3.9
,29.74292518,0,0.1022604,4
,30.63158933,0,0.1022604,4.1
,31.1028727,0,0.1022604,4.2
,31.99153685,0,0.1022604,4.3
,32.880201,0,0.1022604,4.4
,33.33875965,0,0.1022604,4.5
,34.2274238,0,0.1022604,4.6
,35.11608795,0,0.1022604,4.7
,35.57464659,0,0.1022604,4.8
,36.46331074,0,0.1022604,4.9
,37.35197489,0,0.1022604,5
,37.81053353,0,0.1022604,5.1
,38.69919768,0,0.1022604,5.2
,39.15775632,0,0.1022604,5.3
,40.04642047,0,0.1022604,5.4
,40.93508462,0,0.1022604,5.5
,41.39364327,0,0.1022604,5.6
,42.28230742,0,0.1022604,5.7
,43.17097157,0,0.1022604,5.8
,43.62953021,0,0.1022604,5.9
,44.51819436,0,0.1022604,6
,45.40685851,0,0.1022604,6.1
,45.86541715,0,0.1022604,6.2
,46.7540813,0,0.1022604,6.3
,47.64274545,0,0.1022604,6.4
,48.10130409,0,0.1022604,6.5
,48.98996824,0,0.1022604,6.6
,49.87863239,0,0.1022604,6.7
,50.33719104,0,0.1022604,6.8
,51.22585519,0,0.1022604,6.9
,52.11451934,0,0.1022604,7
,52.57307798,0,0.1022604,7.1
,53.46174213,0,0.1022604,7.2
,54.35040628,0,0.1022604,7.3
